Lon,Lat,Populations
128.5457792,35.83601468,55.82
128.539125,35.83517084,55.62
128.5435178,35.83242806,55.2
128.5335663,35.83341563,54.59
128.543565,35.83603393,49.56
128.5468862,35.83600504,47.86
128.5390662,35.8306635,47.46
128.5413391,35.83515167,46.22
128.5280661,35.83616752,45.77
128.5435414,35.834231,45.13
128.5423636,35.8288318,42.57
128.5402321,35.83516126,41.63
128.531364,35.83433613,40.6
128.5401497,35.82885099,38.35
128.542399,35.83153621,36.31
128.5401615,35.82975245,36.23
128.5412685,35.82974287,32.18
128.5401732,35.83065392,29.6
128.5412567,35.8288414,28.79
128.5412802,35.83064433,26.17
128.5424462,35.83514207,23.87
128.5379475,35.8297716,23.17
128.5435532,35.83513246,22.07
128.5390427,35.82886056,21.66
128.5412214,35.826137,19.35
128.5412449,35.82793993,17.2
128.5423283,35.8261274,15.79
128.5423872,35.83063474,15.79
128.5423401,35.82702887,15.5
128.5434824,35.82972366,13.18
128.5412331,35.82703846,9.59
128.543506,35.8315266,8.91
128.5401379,35.82794952,6.43
128.5390545,35.82976203,6.23
128.5434942,35.83062513,6.01
128.5423518,35.82793034,5.32
128.5401262,35.82704805,1.14
128.5727007,35.86192282,1682.12
128.5582443,35.85754322,1382.84
128.5638051,35.85929724,1148.07
128.5715932,35.86193271,1103.12
128.5726885,35.86102137,1046.93
128.573808,35.86191293,1033.48
128.5649246,35.86018888,854.13
128.5737959,35.86101148,800.68
128.5737837,35.86011002,795.87
128.5615904,35.85931683,774.39
128.5626978,35.85930704,750.21
128.5582323,35.85664176,678.71
128.5693663,35.86105099,651.25
128.5648281,35.85297723,606.79
128.566032,35.86017906,605.69
128.5648402,35.85387868,554.29
128.5715811,35.86103125,525.19
128.5593516,35.85753346,514.9
128.5659354,35.85296741,496.38
128.5649125,35.85928742,492.48
128.5704858,35.86194258,448.44
128.5582562,35.85844468,414.95
128.5637329,35.85388849,411.82
128.560471,35.85842515,404.61
128.5615784,35.85841537,402.14
128.5704737,35.86104113,388.46
128.5648161,35.85207577,386.09
128.5637208,35.85298704,382.08
128.5737716,35.85920857,358.08
128.5593636,35.85843492,316.25
128.5659475,35.85386887,314.74
128.560459,35.85752369,308.56
128.5736743,35.85199694,301.92
128.563757,35.85569141,300.67
128.5682589,35.86106084,292.96
128.5593276,35.85573054,285.1
128.5737472,35.85740566,272.79
128.5604229,35.85481932,270.34
128.5648764,35.85658305,266.25
128.5671394,35.86016923,264.82
128.5737351,35.85650421,259.94
128.5637449,35.85478995,250.58
128.5626376,35.85479975,248.13
128.5737594,35.85830712,245.95
128.5726764,35.86011992,244.93
128.5626497,35.85570121,232.93
128.5593396,35.856632,232.69
128.5736622,35.85109548,231.77
128.5726521,35.85831701,222.53
128.5659234,35.85206595,216.75
128.5659837,35.85657323,215.7
128.5648643,35.8556816,213.98
128.5649005,35.85838597,208.2
128.5648522,35.85478014,204.06
128.5626857,35.85840558,199.91
128.5670427,35.85295758,177.35
128.5615303,35.85480954,164.65
128.5736986,35.85379985,163.88
128.5637088,35.85208558,162.96
128.5682468,35.86015939,160.78
128.571569,35.8601298,158.57
128.5681984,35.85655356,152.12
128.5648884,35.85748451,147.26
128.5737108,35.8547013,145.89
128.5637931,35.85839578,145.82
128.563769,35.85659286,144.69
128.5626256,35.85389829,140.83
128.5659717,35.85567178,134.8
128.5736865,35.85289839,131.59
128.5615063,35.85300662,127.19
128.5725671,35.85200683,124.77
128.5593157,35.85482909,124.56
128.5725913,35.85380974,124.37
128.567079,35.85566195,123.71
128.5659596,35.85477032,119.57
128.5726642,35.85921846,116.32
128.5660199,35.8592776,115.92
128.5671514,35.86107068,113.92
128.560435,35.85572078,113.05
128.5726399,35.85741555,112.19
128.5715447,35.85832689,112.1
128.5615423,35.855711,106.54
128.5626737,35.85750412,106.36
128.5726156,35.85561265,105.86
128.5725792,35.85290828,103.22
128.5703888,35.85473094,98.11
128.5659958,35.85747469,94.96
128.560447,35.85662223,92.07
128.5704615,35.86013967,91.97
128.5615663,35.85751391,91.14
128.5615183,35.85390808,88.69
128.5693542,35.86014953,88.22
128.5726035,35.85471119,87.66
128.567091,35.8565634,86.23
128.5692815,35.8547408,85.79
128.5671273,35.85926777,81.24
128.5682105,35.85745502,80.8
128.5703767,35.85382949,80.49
128.5737229,35.85560275,78.12
128.563781,35.85749432,76.81
128.5670306,35.85205612,75.86
128.571484,35.85381962,74.12
128.5726278,35.8565141,69.8
128.5626617,35.85660266,69.6
128.5671031,35.85746486,67.98
128.5615543,35.85661245,65.95
128.5714719,35.85291816,61.36
128.5681742,35.85475065,60.25
128.5681863,35.85565211,59.1
128.5693058,35.85654371,58.7
128.5660079,35.85837615,54.88
128.5703646,35.85292803,53.8
128.5704009,35.8556324,51.83
128.5626136,35.85299683,49.24
128.5715326,35.85742544,48.32
128.5715568,35.85922834,47.83
128.5704131,35.85653385,47.82
128.5715083,35.85562253,46.05
128.5715204,35.85652398,43.7
128.5670669,35.85476049,43.25
128.5704252,35.85743531,42.1
128.5670548,35.85385904,41.1
128.5682347,35.85925793,41.05
128.5693179,35.85744517,40.98
128.5671152,35.85836632,39.42
128.5659113,35.85116449,38.95
128.5692694,35.85383935,38.61
128.5692936,35.85564226,38.27
128.5604109,35.85391786,36.31
128.5714962,35.85472107,33.9
128.564804,35.85117431,31.7
128.5704494,35.85923822,31.4
128.5693421,35.85924808,30.98
128.5704373,35.85833676,29.05
128.5682226,35.85835647,28.91
128.5626015,35.85209538,28.54
128.5692573,35.85293789,28.03
128.5658992,35.85026304,26.62
128.56933,35.85834662,23.57
128.56815,35.85294774,23.1
128.5681621,35.8538492,22.76
128.564792,35.85027285,22.41
128.5670186,35.85115467,10.05
128.5681379,35.85204628,4.51
128.5692452,35.85203643,1.6
128.5504571,35.85490687,2652.27
128.5493497,35.85491654,2030.62
128.5571369,35.85755297,1781.48
128.5515763,35.85579864,1739.91
128.5493378,35.85401508,1363.51
128.5482306,35.85402475,1316.5
128.5515644,35.85489718,1163.49
128.5526836,35.85578894,945.93
128.5526717,35.85488748,929.4
128.5504452,35.8540054,850.41
128.553791,35.85577924,783.96
128.5549103,35.85667098,712.03
128.5560176,35.85666125,681.62
128.5560296,35.85756271,561.01
128.5548983,35.85576952,519.45
128.5515525,35.85399572,497.58
128.5538029,35.85668069,444.2
128.549326,35.85311362,439.21
128.5571249,35.85665151,417.85
128.5482187,35.85312329,404.04
128.5537671,35.85397631,386.51
128.5582203,35.8557403,380.69
128.5593157,35.85482909,379.84
128.5537791,35.85487777,333.67
128.5559578,35.85215395,328.18
128.5559459,35.85125249,290.96
128.5603989,35.8530164,274.3
128.5603869,35.85211494,255.13
128.5570411,35.85034129,235.7
128.5570651,35.85214421,234.46
128.5559698,35.85305541,216.68
128.5582323,35.85664176,211.06
128.557089,35.85394713,210.02
128.5593276,35.85573054,206.86
128.5504333,35.85310394,195.89
128.5559339,35.85035103,195.31
128.5604109,35.85391786,192.3
128.5514573,35.84678403,184.2
128.5548386,35.85126222,183.85
128.5603749,35.85121348,174.18
128.5526598,35.85398602,168.98
128.5581963,35.85393739,168.27
128.5548506,35.85216368,160.2
128.5548864,35.85486806,157.32
128.5560056,35.85575979,155.09
128.5582083,35.85483884,150.81
128.5570531,35.85124275,149.19
128.5614942,35.85210516,145.62
