u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,geometry,bridge,access,tunnel
369753441,1695485746,0,157338320,secondary,,,야외음악당로,False,,True,87.58451354685405,"LINESTRING (128.5579992 35.8541862, 128.5573033 35.8536364)",,,
369753441,1695486105,0,157338682,residential,,,야외음악당로41길,False,,False,72.38048222647926,"LINESTRING (128.5579992 35.8541862, 128.5575295 35.8547142)",,,
369756492,1695487215,0,32814395,tertiary,,,야외음악당로,False,,False,50.13432588390081,"LINESTRING (128.5618632 35.8555916, 128.562371 35.8557757)",,,
369756492,1695486866,0,32814395,tertiary,,,야외음악당로,False,,True,115.21203012917171,"LINESTRING (128.5618632 35.8555916, 128.5606275 35.8553261)",,,
369756492,1695487406,0,157338577,residential,,,야외음악당로49길,False,,True,73.71913244503378,"LINESTRING (128.5618632 35.8555916, 128.5615693 35.8562103)",,,
369756495,369756498,0,32814395,tertiary,,,야외음악당로,False,,False,94.48933915825575,"LINESTRING (128.5648089 35.8566597, 128.5657687 35.8570017)",,,
369756495,1695487496,0,32814395,tertiary,,,야외음악당로,False,,True,57.34253655798975,"LINESTRING (128.5648089 35.8566597, 128.5642281 35.8564491)",,,
369756495,1695487951,0,157338754,residential,,,야외음악당로57길,False,,True,81.48667049026896,"LINESTRING (128.5648089 35.8566597, 128.5645774 35.8573681)",,,
369756498,369756495,0,32814395,tertiary,,,야외음악당로,False,,True,94.48933915825575,"LINESTRING (128.5657687 35.8570017, 128.5648089 35.8566597)",,,
369756498,2631884179,0,37403038,tertiary,2,,파도고개로,False,,True,29.47080226776672,"LINESTRING (128.5657687 35.8570017, 128.5658573 35.8568904, 128.565946 35.856779)",,,
369756498,1695488062,0,665439545,tertiary,,,파도고개로,False,,False,66.66852758471437,"LINESTRING (128.5657687 35.8570017, 128.5656107 35.8573357, 128.5655285 35.8575682)",,,
369918505,4647633114,0,32500426,secondary,,,성서로,False,,True,103.33560862219251,"LINESTRING (128.5073397 35.8553885, 128.5073697 35.8563175)",,,
369918505,4647633133,0,469042045,secondary,,,이곡공원로,False,,False,114.9370446119238,"LINESTRING (128.5073397 35.8553885, 128.5086147 35.855365)",,,
369918505,369918537,0,671853521,secondary,,,성서로,False,,False,143.46460932873086,"LINESTRING (128.5073397 35.8553885, 128.5072909 35.8540989)",,,
369918505,436801580,0,32836581,secondary,,,계대동문로,False,,True,213.57272421698997,"LINESTRING (128.5073397 35.8553885, 128.5059736 35.8554061, 128.5049702 35.8554181)",,,
369918507,4634661170,0,469042045,secondary,,,이곡공원로,False,,True,238.74594719234221,"LINESTRING (128.5126539 35.85529, 128.5100055 35.8553393)",,,
369918507,4634579634,0,469044540,residential,,,,False,,False,77.32351437590306,"LINESTRING (128.5126539 35.85529, 128.5126404 35.8545947)",,,
369918507,4634562002,0,469042045,secondary,,,이곡공원로,False,,False,246.2890885796041,"LINESTRING (128.5126539 35.85529, 128.51285 35.8552869, 128.515386 35.8552401)",,,
369918508,4634579635,0,32836584,tertiary,,,달구벌대로259길,False,,False,74.79555807364318,"LINESTRING (128.5097173 35.8553446, 128.5096946 35.8546722)",,,
369918508,4634661170,0,469042045,secondary,,,이곡공원로,False,,False,25.98026070999786,"LINESTRING (128.5097173 35.8553446, 128.5100055 35.8553393)",,,
369918508,4647633133,0,469042045,secondary,,,이곡공원로,False,,True,99.39597721688715,"LINESTRING (128.5097173 35.8553446, 128.5086147 35.855365)",,,
369918510,5779561397,0,1087522489,tertiary,,,계대동문로,False,,False,20.314264731405018,"LINESTRING (128.4919497 35.8556281, 128.4921751 35.8556268)",,,
369918510,3141943460,0,1087522491,secondary,,,달서대로,True,17,False,379.4266471896649,"LINESTRING (128.4919497 35.8556281, 128.4919374 35.8536918, 128.4919248 35.8522159)",,,
369918512,4697030172,0,37402038,secondary,,,성서서로,False,,False,146.81489559052181,"LINESTRING (128.4998986 35.8574141, 128.499922 35.8587343)",,,
369918512,4696996736,0,37402038,secondary,,,성서서로,False,,True,168.09984080756234,"LINESTRING (128.4998986 35.8574141, 128.4998718 35.8559025)",,,
369918512,4697030179,0,476046334,residential,,,성서서로73길,False,,False,49.227534276012676,"LINESTRING (128.4998986 35.8574141, 128.4993524 35.8574089)",,,
369918512,369918536,0,"[471478362, 37741141]",tertiary,,,선원남로,False,,True,677.538020647776,"LINESTRING (128.4998986 35.8574141, 128.5012191 35.8573992, 128.503412 35.857369, 128.5046345 35.8573522, 128.5059188 35.8573343, 128.5060603 35.8573323, 128.5074157 35.857316)",,,
369918513,3141943414,0,37400382,secondary,,,성서서로,False,,True,17.428234690834795,"LINESTRING (128.4998009 35.8518985, 128.4998115 35.851742)",,,
369918513,436840868,0,37402038,secondary,,,성서서로,False,,False,185.8150167317854,"LINESTRING (128.4998009 35.8518985, 128.4998305 35.8535694)",,,
369918513,2854702504,0,41962786,primary,4,60,달구벌대로,True,30,False,378.7481760884558,"LINESTRING (128.4998009 35.8518985, 128.4974715 35.8517247, 128.4964114 35.8516492, 128.4956147 35.8516009)",,,
