osmid,y,x,street_count,highway,junction,ref,railway,geometry,convenience_store_count,cctv_count,police_count,lighting_count,population,safety_score
436819411,35.8518391,128.5016042,3,,,,,POINT (128.5016042 35.8518391),0.0,0.0,0.0,0.04225352112676056,0.03044245181785493,0.013017071998030353
436819412,35.8499204,128.5016294,3,,,,,POINT (128.5016294 35.8499204),0.0,0.0,0.0,0.028169014084507043,0.002678437446027787,0.006035568433805576
436819417,35.8493892,128.5036455,4,,,,,POINT (128.5036455 35.8493892),0.0,0.0,0.0,0.04929577464788733,0.002599160227752123,0.010249028963740284
436819425,35.8248138,128.4999423,3,,,,,POINT (128.4999423 35.8248138),0.0,0.0,0.0,0.028169014084507043,0.0038053064772318656,0.006204598788486188
436819427,35.82766,128.49992,4,,,,,POINT (128.49992 35.82766),0.0,0.0,0.0,0.04225352112676056,0.0048769645885653945,0.009182248913636924
436819431,35.83354,128.49996,3,,,,,POINT (128.49996 35.83354),0.0,0.0,0.0,0.035211267605633804,0.0060420565642952395,0.007948562005771048
436819441,35.82682,128.51305,3,,,,,POINT (128.51305 35.82682),0.0,0.0,0.0,0.035211267605633804,0.006455430631018344,0.008010568115779514
436819447,35.83042,128.51591,3,,,,,POINT (128.51591 35.83042),0.0,0.0,0.0,0.028169014084507043,0.006483743923259652,0.006606364405390357
436819454,35.8358512,128.5106658,3,,,,,POINT (128.5106658 35.8358512),0.0,0.0,0.0,0.035211267605633804,0.013865019210568786,0.00912200640271208
436819459,35.8432,128.51088,4,,,,,POINT (128.51088 35.8432),0.0,0.0,0.0,0.02112676056338028,0.004394222955851083,0.00488448555605372
436819464,35.836022,128.5125554,3,,,,,POINT (128.5125554 35.836022),0.0,0.0,0.0,0.07042253521126761,0.015551075763538707,0.016417168406784328
436819466,35.8377,128.51252,3,,,,,POINT (128.51252 35.8377),0.0,0.0,0.0,0.02112676056338028,0.0031371127803369848,0.004695919029726605
436819470,35.843,128.51255,3,,,,,POINT (128.51255 35.843),0.0,0.0,0.0,0.014084507042253521,0.015914901568839523,0.0052041366437766325
436824305,35.8371,128.55283,4,,,,,POINT (128.55283 35.8371),0.0,0.0,0.0,0.04225352112676056,0.08991876916455968,0.021938519600036066
436824311,35.8373552,128.5414046,4,,,,,POINT (128.5414046 35.8373552),0.0,0.0,0.0,0.035211267605633804,0.1372189551828897,0.027625096798560216
436824313,35.837404,128.5394018,4,,,,,POINT (128.5394018 35.837404),0.0,0.0,0.0,0.04225352112676056,0.03987502512804686,0.014431957994559142
436824314,35.83736,128.53395,4,,,,,POINT (128.53395 35.83736),0.5,0.0,0.0,0.04929577464788733,0.05838342426619025,0.093616668569506
436825724,35.83375,128.55279,3,,,,,POINT (128.55279 35.83375),0.0,0.07142857142857142,0.0,0.04225352112676056,0.02440181091817175,0.029968118720220732
436831092,35.83832,128.55284,4,,,,,POINT (128.55284 35.83832),0.5,0.07142857142857142,0.0,0.056338028169014086,0.07353811393835065,0.11515546558169827
436831093,35.84105,128.55287,3,,,,,POINT (128.55287 35.84105),0.0,0.0,0.0,0.035211267605633804,0.028466184019411592,0.0113121811240385
436831094,35.84342,128.55288,4,,,,,POINT (128.55288 35.84342),0.5,0.0,0.0,0.056338028169014086,0.08166827580544238,0.09851784700461917
436832722,35.843,128.51583,3,,,,,POINT (128.51583 35.843),0.0,0.21428571428571427,0.0,0.028169014084507043,0.003575968810077267,0.05974162670984157
436832724,35.8506974,128.5158296,4,,,,,POINT (128.5158296 35.8506974),0.0,0.0,0.0,0.02112676056338028,0.1293818358904955,0.023632627496250384
436833679,35.8372973,128.544736,4,,yes,,,POINT (128.544736 35.8372973),0.0,0.0,0.0,0.04929577464788733,0.028957419639798292,0.01420276787554721
436833680,35.83951,128.54479,4,,,,,POINT (128.54479 35.83951),0.0,0.0,0.0,0.04225352112676056,0.2140102663997667,0.04055224418531712
436833681,35.84111,128.54482,3,,,,,POINT (128.54482 35.84111),0.5,0.0,0.0,0.04929577464788733,0.017050264587715993,0.08741669461773487
436833684,35.84728,128.54536,3,,,,,POINT (128.54536 35.84728),0.0,0.0,0.0,0.035211267605633804,0.06647819451798036,0.017013982698823815
436833685,35.85247,128.54888,3,,,,,POINT (128.54888 35.85247),0.5,0.07142857142857142,0.0,0.04929577464788733,0.01311754829539824,0.10468393003103006
436833727,35.8045811,128.5321999,3,,,,,POINT (128.5321999 35.8045811),0.0,0.2857142857142857,0.0,0.04225352112676056,0.027926815802214663,0.08406829802425574
436833729,35.803955,128.5379967,3,,,,,POINT (128.5379967 35.803955),0.0,0.0,0.0,0.04929577464788733,0.10071038050233443,0.02496571200492763
436833732,35.8092272,128.5399558,3,,,,,POINT (128.5399558 35.8092272),0.0,0.0,0.0,0.04225352112676056,0.0028016002672774784,0.008870944265443735
436833811,35.8517261,128.5411251,3,,,,,POINT (128.5411251 35.8517261),0.0,0.0,0.0,0.06338028169014084,0.14963291816609142,0.035120994062941883
436833812,35.8523414,128.5409447,4,,,,,POINT (128.5409447 35.8523414),0.5,0.2857142857142857,0.0,0.028169014084507043,0.03139660976638702,0.15677186571043086
436833816,35.85429,128.54019,3,,,,,POINT (128.54019 35.85429),0.0,0.14285714285714285,0.0,0.09154929577464789,0.009939381241311357,0.055515052055412
436834035,35.8418914,128.53701,4,,,,,POINT (128.53701 35.8418914),0.0,0.0,0.0,0.07042253521126761,0.10164047215246143,0.029330577865122737
436834040,35.8394166,128.548795,4,,,,,POINT (128.548795 35.8394166),0.0,0.21428571428571427,0.0,0.04225352112676056,0.058064899728475526,0.07073186775605202
436834041,35.83939,128.55016,4,,,,,POINT (128.55016 35.83939),0.0,0.0,0.0,0.06338028169014084,0.021709216826023312,0.015932438861931665
436834043,35.83818,128.55357,4,,,,,POINT (128.55357 35.83818),0.5,0.07142857142857142,0.0,0.06338028169014084,0.06835395012896704,0.11578629171451608
436834044,35.83821,128.55451,3,,,,,POINT (128.55451 35.83821),0.0,0.0,0.0,0.04929577464788733,0.019970780682406968,0.012854772031938511
436834045,35.83911,128.55683,4,,,,,POINT (128.55683 35.83911),0.5,0.0,0.0,0.056338028169014086,0.03362486586577801,0.09131133551366952
436837217,35.8377353,128.5087217,4,,,,,POINT (128.5087217 35.8377353),0.0,0.0,0.0,0.0,0.0032390406324056954,0.0004858560948608543
436840868,35.8535694,128.4998305,3,,,,,POINT (128.4998305 35.8535694),0.0,0.07142857142857142,0.0,0.04225352112676056,0.012217185602124628,0.028140424922813666
436840869,35.8536598,128.4940826,4,,,,,POINT (128.4940826 35.8536598),0.5,0.07142857142857142,0.0,0.07746478873239437,0.012217185602124628,0.11018267844394043
436840873,35.84778,128.4998,3,,,,,POINT (128.4998 35.84778),0.0,0.0,0.0,0.028169014084507043,0.0021234969180981395,0.005952327354616129
436851626,35.8378446,128.4999518,3,,,,,POINT (128.4999518 35.8378446),0.0,0.0,0.0,0.035211267605633804,0.0016577432607286144,0.007290915010236054
436851627,35.83787,128.49446,4,,,,,POINT (128.49446 35.83787),0.0,0.0,0.0,0.035211267605633804,0.03086856686608662,0.011672538551039755
436852720,35.8464523,128.5516129,3,,,,,POINT (128.5516129 35.8464523),0.5,0.21428571428571427,0.0,0.06338028169014084,0.025954794997607524,0.14514070415909786
436852721,35.8462201,128.5508526,3,,,,,POINT (128.5508526 35.8462201),0.0,0.14285714285714285,0.0,0.07042253521126761,0.02355665914476869,0.053332291628254536
436852722,35.8462601,128.5475863,4,,,,,POINT (128.5475863 35.8462601),0.0,0.2857142857142857,0.0,0.06338028169014084,0.023518436200242927,0.08763239319663603
436852723,35.8465943,128.5468563,4,,,,,POINT (128.5468563 35.8465943),0.0,0.0,0.0,0.09154929577464789,0.011788239224668805,0.0200780950386299
436853083,35.8556187,128.5226276,3,,,,,POINT (128.5226276 35.8556187),0.0,0.0,0.0,0.08450704225352113,0.0343213728549142,0.022049614378941356
436853084,35.8582861,128.5236554,3,,,,,POINT (128.5236554 35.8582861),0.0,0.07142857142857142,0.0,0.07746478873239437,0.0037076256189993518,0.03390624444647163
436853085,35.8588135,128.5238595,4,,,,,POINT (128.5238595 35.8588135),0.0,0.2857142857142857,0.0,0.5845070422535211,0.012394143678632808,0.1901891014310706
436854343,35.8606826,128.5243846,3,,,,,POINT (128.5243846 35.8606826),0.0,0.0,0.0,0.04929577464788733,0.01060757493820624,0.0114502911703084
436855198,35.8592029,128.4999303,3,,,,,POINT (128.4999303 35.8592029),0.0,0.07142857142857142,0.0,0.07042253521126761,0.015259448853453232,0.03423056722741436
436855200,35.859302,128.495907,3,,,,,POINT (128.495907 35.859302),0.0,0.0,0.0,0.07042253521126761,0.015259448853453232,0.01637342437027151
436855721,35.8304035,128.4920454,4,,,,,POINT (128.4920454 35.8304035),0.0,0.0,0.0,0.035211267605633804,0.0021135872658136815,0.007359291610998814
436855722,35.83047,128.49998,4,,,,,POINT (128.49998 35.83047),0.0,0.0,0.0,0.04929577464788733,0.004245578171584214,0.010495991655315097
436855723,35.83042,128.50474,4,,,,,POINT (128.50474 35.83042),0.0,0.0,0.0,0.035211267605633804,0.003946872938438408,0.007634284461892522
436855724,35.8304,128.50973,4,,,,,POINT (128.50973 35.8304),0.0,0.0,0.0,0.04225352112676056,0.007078323060327131,0.009512452684401183
436855725,35.8304,128.51406,4,,,,,POINT (128.51406 35.8304),0.0,0.0,0.0,0.04225352112676056,0.009953537887432013,0.009943734908466915
436855736,35.8444446,128.4725096,3,,,,,POINT (128.4725096 35.8444446),0.0,0.0,0.0,0.056338028169014086,0.002245244074735766,0.011604392245013183
436859804,35.8587764,128.5332796,4,,yes,,,POINT (128.5332796 35.8587764),0.0,0.07142857142857142,0.0,0.04225352112676056,0.02862473845596292,0.03060155785088941
436860729,35.85052,128.55314,3,,,,,POINT (128.55314 35.85052),0.0,0.21428571428571427,0.0,0.04929577464788733,0.0034910289333533414,0.06395423784100902
436863908,35.8459119,128.5444471,3,,,,,POINT (128.5444471 35.8459119),0.0,0.0,0.0,0.04929577464788733,0.16355031696730665,0.03439170247467346
436863909,35.8461189,128.5423163,4,,,,,POINT (128.5423163 35.8461189),0.5,0.07142857142857142,0.0,0.06338028169014084,0.016956830723319674,0.10807672380366898
436863910,35.84618,128.53923,4,,,,,POINT (128.53923 35.84618),0.0,0.0,0.0,0.06338028169014084,0.01088646086678313,0.014309025468045638
436863911,35.8461913,128.5371481,3,,,,,POINT (128.5371481 35.8461913),0.5,0.0,0.0,0.06338028169014084,0.100203572571215,0.10270659222371041
436863947,35.83509,128.53693,4,,,,,POINT (128.53693 35.83509),0.0,0.0,0.0,0.07746478873239437,0.04450000141566461,0.022167957958828567
436863949,35.83929,128.53693,4,,,,,POINT (128.53693 35.83929),0.0,0.0,0.0,0.04225352112676056,0.07977411655449884,0.02041682170852694
436864584,35.8540463,128.5306187,4,,,,,POINT (128.5306187 35.8540463),0.0,0.0,0.0,0.06338028169014084,0.05764586300330416,0.021322935788523793
436864586,35.8602994,128.5306306,4,,,,,POINT (128.5306306 35.8602994),0.0,0.07142857142857142,0.0,0.056338028169014086,0.005062416652745964,0.029884110988857567
436864590,35.85402,128.52584,3,,,,,POINT (128.52584 35.85402),0.5,0.0,0.0,0.056338028169014086,0.030974741711991525,0.09091381689060155
436864595,35.8575732,128.5306498,3,,,,,POINT (128.5306498 35.8575732),0.0,0.0,0.0,0.07042253521126761,0.5731870291145584,0.10006256140943728
436864596,35.85882,128.5274,3,,,,,POINT (128.5274 35.85882),0.0,0.0,0.0,0.06338028169014084,0.03218230362608334,0.01750340188194067
436866120,35.8484359,128.4748984,3,,,,,POINT (128.4748984 35.8484359),0.0,0.0,0.0,0.04225352112676056,0.002245244074735766,0.00878749083656248
436866121,35.8484167,128.4780861,4,,,,level_crossing,POINT (128.4780861 35.8484167),0.0,0.14285714285714285,0.0,0.07042253521126761,0.002245244074735766,0.0501355793677496
436866575,35.8261565,128.52979,4,,yes,,,POINT (128.52979 35.8261565),0.0,0.0,0.0,0.07746478873239437,0.03960038619330617,0.0214330156754748
436866577,35.83187,128.52441,4,,,,,POINT (128.52441 35.83187),0.0,0.0,0.0,0.056338028169014086,0.038152161295163245,0.016990429828077303
436866820,35.82993,128.52623,4,,,,,POINT (128.52623 35.82993),0.0,0.14285714285714285,0.0,0.1056338028169014,0.009864351016871891,0.05832069893019678
436866825,35.8312126,128.5354662,3,,,,,POINT (128.5354662 35.8312126),0.0,0.0,0.0,0.04929577464788733,0.011260196324368402,0.011548184378232726
436868061,35.8554521,128.5022342,3,,,,,POINT (128.5022342 35.8554521),0.0,0.0,0.0,0.04225352112676056,0.027483712778638186,0.012573261142147841
